24-06-08--18-43-26

nb_nodes=100
bsz=512
dim_emb=128
dim_ff=512
dim_input_nodes=2
nb_layers_encoder=6
nb_layers_decoder=2
nb_heads=8
nb_epochs=10000
nb_batch_per_epoch=25
nb_batch_eval=20
gpu_id=0,1
lr=0.0001
tol=0.001
batchnorm=True
max_len_PE=1000


Epoch: 0, epoch time: 0.500min, tot time: 0.000day, L_train: 17.200, L_base: 18.085, gap_train(%): 121.508, update: True
Epoch: 1, epoch time: 0.454min, tot time: 0.001day, L_train: 12.946, L_base: 17.217, gap_train(%): 66.724, update: True
Epoch: 2, epoch time: 0.454min, tot time: 0.001day, L_train: 12.134, L_base: 12.937, gap_train(%): 56.265, update: True
Epoch: 3, epoch time: 0.453min, tot time: 0.002day, L_train: 11.936, L_base: 12.134, gap_train(%): 53.715, update: True
Epoch: 4, epoch time: 0.447min, tot time: 0.002day, L_train: 11.437, L_base: 11.942, gap_train(%): 47.285, update: True
Epoch: 5, epoch time: 0.425min, tot time: 0.003day, L_train: 11.419, L_base: 11.432, gap_train(%): 47.055, update: True
Epoch: 6, epoch time: 0.424min, tot time: 0.003day, L_train: 11.215, L_base: 11.414, gap_train(%): 44.427, update: True
Epoch: 7, epoch time: 0.423min, tot time: 0.003day, L_train: 11.012, L_base: 11.224, gap_train(%): 41.813, update: True
Epoch: 8, epoch time: 0.426min, tot time: 0.004day, L_train: 10.922, L_base: 11.004, gap_train(%): 40.654, update: True
Epoch: 9, epoch time: 0.424min, tot time: 0.004day, L_train: 10.915, L_base: 10.937, gap_train(%): 40.571, update: True
Epoch: 10, epoch time: 0.421min, tot time: 0.005day, L_train: 10.741, L_base: 10.906, gap_train(%): 38.331, update: True
Epoch: 11, epoch time: 0.419min, tot time: 0.005day, L_train: 10.715, L_base: 10.743, gap_train(%): 37.986, update: True
Epoch: 12, epoch time: 0.426min, tot time: 0.005day, L_train: 10.804, L_base: 10.712, gap_train(%): 39.141, update: False
Epoch: 13, epoch time: 0.425min, tot time: 0.006day, L_train: 10.551, L_base: 10.707, gap_train(%): 35.882, update: True
Epoch: 14, epoch time: 0.423min, tot time: 0.006day, L_train: 10.471, L_base: 10.553, gap_train(%): 34.854, update: True
Epoch: 15, epoch time: 0.424min, tot time: 0.007day, L_train: 10.560, L_base: 10.476, gap_train(%): 35.996, update: False
Epoch: 16, epoch time: 0.433min, tot time: 0.007day, L_train: 10.381, L_base: 10.467, gap_train(%): 33.694, update: True
Epoch: 17, epoch time: 0.425min, tot time: 0.007day, L_train: 10.413, L_base: 10.377, gap_train(%): 34.098, update: False
Epoch: 18, epoch time: 0.427min, tot time: 0.008day, L_train: 10.297, L_base: 10.383, gap_train(%): 32.608, update: True
Epoch: 19, epoch time: 0.418min, tot time: 0.008day, L_train: 10.380, L_base: 10.286, gap_train(%): 33.682, update: False
Epoch: 20, epoch time: 0.419min, tot time: 0.009day, L_train: 10.331, L_base: 10.295, gap_train(%): 33.044, update: False
Epoch: 21, epoch time: 0.418min, tot time: 0.009day, L_train: 10.207, L_base: 10.292, gap_train(%): 31.445, update: True
Epoch: 22, epoch time: 0.418min, tot time: 0.009day, L_train: 10.292, L_base: 10.208, gap_train(%): 32.548, update: False
Epoch: 23, epoch time: 0.420min, tot time: 0.010day, L_train: 10.230, L_base: 10.202, gap_train(%): 31.750, update: False
Epoch: 24, epoch time: 0.419min, tot time: 0.010day, L_train: 10.263, L_base: 10.207, gap_train(%): 32.175, update: False
Epoch: 25, epoch time: 0.419min, tot time: 0.011day, L_train: 10.177, L_base: 10.201, gap_train(%): 31.068, update: True
Epoch: 26, epoch time: 0.419min, tot time: 0.011day, L_train: 10.105, L_base: 10.177, gap_train(%): 30.140, update: True
Epoch: 27, epoch time: 0.419min, tot time: 0.011day, L_train: 9.993, L_base: 10.109, gap_train(%): 28.687, update: True
Epoch: 28, epoch time: 0.418min, tot time: 0.012day, L_train: 10.122, L_base: 9.986, gap_train(%): 30.350, update: False
Epoch: 29, epoch time: 0.419min, tot time: 0.012day, L_train: 9.994, L_base: 9.992, gap_train(%): 28.701, update: False
Epoch: 30, epoch time: 0.418min, tot time: 0.013day, L_train: 9.954, L_base: 9.989, gap_train(%): 28.191, update: True
Epoch: 31, epoch time: 0.418min, tot time: 0.013day, L_train: 9.889, L_base: 9.958, gap_train(%): 27.357, update: True
Epoch: 32, epoch time: 0.418min, tot time: 0.014day, L_train: 9.875, L_base: 9.891, gap_train(%): 27.167, update: True
Epoch: 33, epoch time: 0.419min, tot time: 0.014day, L_train: 9.863, L_base: 9.862, gap_train(%): 27.022, update: False
Epoch: 34, epoch time: 0.419min, tot time: 0.014day, L_train: 9.836, L_base: 9.871, gap_train(%): 26.665, update: True
Epoch: 35, epoch time: 0.418min, tot time: 0.015day, L_train: 9.770, L_base: 9.831, gap_train(%): 25.823, update: True
Epoch: 36, epoch time: 0.418min, tot time: 0.015day, L_train: 9.903, L_base: 9.777, gap_train(%): 27.534, update: False
Epoch: 37, epoch time: 0.419min, tot time: 0.016day, L_train: 9.827, L_base: 9.778, gap_train(%): 26.560, update: False
Epoch: 38, epoch time: 0.419min, tot time: 0.016day, L_train: 9.823, L_base: 9.771, gap_train(%): 26.507, update: False
Epoch: 39, epoch time: 0.418min, tot time: 0.016day, L_train: 9.773, L_base: 9.778, gap_train(%): 25.855, update: True
Epoch: 40, epoch time: 0.418min, tot time: 0.017day, L_train: 9.725, L_base: 9.771, gap_train(%): 25.239, update: True
Epoch: 41, epoch time: 0.419min, tot time: 0.017day, L_train: 9.688, L_base: 9.724, gap_train(%): 24.759, update: True
Epoch: 42, epoch time: 0.418min, tot time: 0.018day, L_train: 9.699, L_base: 9.685, gap_train(%): 24.907, update: False
Epoch: 43, epoch time: 0.419min, tot time: 0.018day, L_train: 9.606, L_base: 9.689, gap_train(%): 23.706, update: True
Epoch: 44, epoch time: 0.418min, tot time: 0.018day, L_train: 9.721, L_base: 9.603, gap_train(%): 25.192, update: False
Epoch: 45, epoch time: 0.418min, tot time: 0.019day, L_train: 9.631, L_base: 9.606, gap_train(%): 24.035, update: False
Epoch: 46, epoch time: 0.419min, tot time: 0.019day, L_train: 9.582, L_base: 9.605, gap_train(%): 23.399, update: True
Epoch: 47, epoch time: 0.418min, tot time: 0.020day, L_train: 9.602, L_base: 9.575, gap_train(%): 23.653, update: False
Epoch: 48, epoch time: 0.419min, tot time: 0.020day, L_train: 9.608, L_base: 9.576, gap_train(%): 23.729, update: False
Epoch: 49, epoch time: 0.419min, tot time: 0.020day, L_train: 9.628, L_base: 9.588, gap_train(%): 23.994, update: False
Epoch: 50, epoch time: 0.418min, tot time: 0.021day, L_train: 9.546, L_base: 9.582, gap_train(%): 22.937, update: True
Epoch: 51, epoch time: 0.418min, tot time: 0.021day, L_train: 9.566, L_base: 9.545, gap_train(%): 23.188, update: False
Epoch: 52, epoch time: 0.419min, tot time: 0.022day, L_train: 9.526, L_base: 9.543, gap_train(%): 22.675, update: True
Epoch: 53, epoch time: 0.419min, tot time: 0.022day, L_train: 9.524, L_base: 9.529, gap_train(%): 22.647, update: True
Epoch: 54, epoch time: 0.419min, tot time: 0.022day, L_train: 9.556, L_base: 9.521, gap_train(%): 23.064, update: False
Epoch: 55, epoch time: 0.417min, tot time: 0.023day, L_train: 9.517, L_base: 9.528, gap_train(%): 22.569, update: True
Epoch: 56, epoch time: 0.419min, tot time: 0.023day, L_train: 9.569, L_base: 9.509, gap_train(%): 23.233, update: False
Epoch: 57, epoch time: 0.419min, tot time: 0.024day, L_train: 9.516, L_base: 9.520, gap_train(%): 22.546, update: True
Epoch: 58, epoch time: 0.418min, tot time: 0.024day, L_train: 9.500, L_base: 9.520, gap_train(%): 22.349, update: True
Epoch: 59, epoch time: 0.419min, tot time: 0.024day, L_train: 9.509, L_base: 9.499, gap_train(%): 22.454, update: False
Epoch: 60, epoch time: 0.419min, tot time: 0.025day, L_train: 9.493, L_base: 9.502, gap_train(%): 22.253, update: True
Epoch: 61, epoch time: 0.418min, tot time: 0.025day, L_train: 9.496, L_base: 9.502, gap_train(%): 22.291, update: True
Epoch: 62, epoch time: 0.420min, tot time: 0.026day, L_train: 9.464, L_base: 9.494, gap_train(%): 21.886, update: True
Epoch: 63, epoch time: 0.417min, tot time: 0.026day, L_train: 9.473, L_base: 9.465, gap_train(%): 21.998, update: False
Epoch: 64, epoch time: 0.416min, tot time: 0.026day, L_train: 9.417, L_base: 9.465, gap_train(%): 21.271, update: True
Epoch: 65, epoch time: 0.419min, tot time: 0.027day, L_train: 9.460, L_base: 9.409, gap_train(%): 21.835, update: False
Epoch: 66, epoch time: 0.419min, tot time: 0.027day, L_train: 9.493, L_base: 9.418, gap_train(%): 22.249, update: False
Epoch: 67, epoch time: 0.419min, tot time: 0.028day, L_train: 9.494, L_base: 9.414, gap_train(%): 22.271, update: False
Epoch: 68, epoch time: 0.418min, tot time: 0.028day, L_train: 9.489, L_base: 9.418, gap_train(%): 22.197, update: False
Epoch: 69, epoch time: 0.418min, tot time: 0.029day, L_train: 9.449, L_base: 9.411, gap_train(%): 21.683, update: False
Epoch: 70, epoch time: 0.419min, tot time: 0.029day, L_train: 9.441, L_base: 9.414, gap_train(%): 21.581, update: False
Epoch: 71, epoch time: 0.419min, tot time: 0.029day, L_train: 9.424, L_base: 9.413, gap_train(%): 21.364, update: False
Epoch: 72, epoch time: 0.419min, tot time: 0.030day, L_train: 9.382, L_base: 9.413, gap_train(%): 20.820, update: True
Epoch: 73, epoch time: 0.418min, tot time: 0.030day, L_train: 9.398, L_base: 9.376, gap_train(%): 21.028, update: False
Epoch: 74, epoch time: 0.416min, tot time: 0.031day, L_train: 9.365, L_base: 9.387, gap_train(%): 20.607, update: True
